X,Y
300,352198.32
301,362241.33
302,357091.803
303,348787.2585
304,352280.06
305,357622.8738
306,347411.0686
307,345918.375
308,340606.0492
309,332815.4749
310,334446.5001
311,321836.6324
312,312012.4663
313,305413.8492
314,294592.3751
315,285180.1633
316,275505.4746
317,265210.9346
318,255500.359
319,246246.8844
320,238004.6892
321,228266.427
322,217618.3095
323,212563.703
324,204831.515
325,198425.166
326,191154.6695
327,183873.211
328,175609.7736
329,170633.7451
330,161912.309
331,153877.6915
332,148619.3964
333,143959.7698
334,137696.8436
335,131522.2555
336,126444.566
337,123155.4338
338,118320.801
339,114437.7012
340,107297.6291
341,104870.3144
342,100424.568
343,93565.4175
344,91345.0963
345,86471.3653
346,83645.9842
347,80581.31
348,76386.425
349,74267.0914
350,70079.4816
351,69208.4737
352,65770.1853
353,62033.12175
354,60876.6282
355,58276.3136
356,56525.1851
357,54592.4115
358,51215.1584
359,53205.70485
360,50512.90095
361,47502.0036
362,44878.25785
363,43575.5874
364,41795.9595
365,40400.7841
366,38286.7744
367,37683.16695
368,35584.40775
369,34939.5468
370,33559.73025
371,32568.20515
372,31134.93865
373,31124.5459
374,29009.18755
375,28705.4024
376,28474.9774
377,26603.02925
378,26110.20705
379,25412.95225
380,24772.62935
381,23071.3818
382,23145.6445
383,22043.6553
384,22060.5186
385,22011.06905
386,21070.46485
387,20577.0249
388,20396.53315
389,18787.8857
390,18954.5127
391,17782.74095
392,17802.2705
393,16532.97465
394,16802.2266
395,16459.0723
396,17109.7149
397,15474.9806
398,15384.25485
399,14321.9834
400,17739.5142
401,13520.545
402,12643.9639
403,12675.2683
404,15124.749
405,15443.4257
406,15181.82585
407,12528.72465
408,10964.19315
409,17196.1895
410,15860.06295
411,14375.6513
412,13964.92575
413,16291.71095
414,9393.21585
415,15564.374
416,23089.79305
417,9814.4975
418,12519.02005
419,14560.7441
420,14213.02835
421,11381.24245
422,6707.12245
423,12073.8209
424,17388.43325
425,7527.00975
426,3719.1376
427,6929.71785
428,1647.96485
429,11110.54295
430,10499.66875
431,10357.78525
432,7853.91925
433,10889.219
434,9102.24895
435,10706.24705
436,4841.43845
437,-1623.67775
438,6272.94625
439,7263.0017
440,9787.01815
441,13148.4931
442,7223.62305
443,9110.50955
444,9889.4358
445,-9215.3864
446,4048.55175
447,14447.8642
448,9896.321
449,8196.14
450,7640.75196
